,player,DRAPM,ORAPM,Total_RAPM,team
0,AC Bryant,0.4304,0.5019,0.9322,Alabama A&M
1,AD Diedhiou,-0.1739,-0.2976,-0.4714,ULM
2,AJ Allenspach,-0.425,1.2816,0.8566,Army West Point
3,AJ Barnes,1.3977,0.0023,1.4,Southern U.
4,AJ Bates,0.819,1.175,1.994,Louisiana Tech
5,AJ Braun,0.3949,-0.1493,0.2455,California Baptist
6,AJ Brown,-0.3505,1.9197,1.5692,Ohio
7,AJ Burgin,-1.1644,1.5357,0.3712,Idaho State
8,AJ Casey,0.3036,-0.12,0.1836,Saint Louis
9,AJ Clark,1.1974,-1.686,-0.4886,VMI
10,AJ Clayton,0.0438,2.4421,2.4859,Ohio
11,AJ Dancler,-1.5186,0.6594,-0.8592,Le Moyne
12,AJ Economou,-0.1105,-0.3472,-0.4578,Hawaii
13,AJ Ferguson,2.2671,0.9049,3.172,Murray State
14,AJ George,-1.0182,0.9087,-0.1095,SMU
15,AJ Hoggard,0.9447,2.3522,3.2969,Vanderbilt
16,AJ Hopkins,1.757,-1.432,0.325,UT Martin
17,AJ LaBeau,0.6766,-0.0992,0.5775,Cornell
18,AJ Levine,-0.038,0.4375,0.3995,Penn
19,AJ Lopez,2.2634,-1.2602,1.0032,Maine
20,AJ Lux,0.9659,-1.5093,-0.5433,Bellarmine
21,AJ McBride,-0.0171,-0.1495,-0.1666,Niagara
22,AJ McGinnis,-0.2256,-1.1599,-1.3855,Wichita State
23,AJ McKee,2.1573,2.9484,5.1057,Milwaukee
24,AJ Patterson,0.1156,-0.093,0.0226,Air Force
25,AJ Redd,0.2647,-0.1796,0.085,Illinois
26,AJ Rodriguez,0.145,-0.0146,0.1304,Cornell
27,AJ Smith,0.2604,2.9011,3.1616,James Madison
28,AJ Smith,0.2604,2.9011,3.1616,Col. of Charleston
29,AJ Staton-McCray,-0.7983,0.0693,-0.729,Miami (FL)
30,AJ Storr,0.0751,0.5204,0.5955,Kansas
31,AJ Swinton,0.5953,-0.4548,0.1405,Florida State
32,AJ Wills,0.2022,-1.4502,-1.248,Wyoming
33,AK Okereke,-0.5058,4.9928,4.487,Cornell
34,Aa'reyon Munir-Jones,-0.6467,-0.0306,-0.6773,Coppin State
35,Aaron Bradshaw,1.7621,-0.2221,1.54,Ohio State
36,Aaron Cooley,1.2418,0.629,1.8708,Brown
37,Aaron Davis,0.8486,0.1243,0.9729,Bryant
38,Aaron Franklin,-0.4595,-0.0492,-0.5087,Milwaukee
39,Aaron Gray,-1.4646,0.1543,-1.3102,Indiana State
40,Aaron Hunkin-Claytor,0.6974,-0.3446,0.3529,Hawaii
41,Aaron McBride,1.6521,0.4181,2.0702,LMU (CA)
42,Aaron Nkrumah,1.2893,1.7317,3.021,Tennessee State
43,Aaron Oh,-0.2788,0.1004,-0.1784,Georgia State
44,Aaron Potter,0.5056,0.4588,0.9644,A&M-Corpus Christi
45,Aaron Powell,-0.0425,-0.8552,-0.8977,Rice
46,Aaron Price,-0.6118,-0.1553,-0.7671,Cal Poly
47,Aaron Reddish,1.2202,0.1195,1.3397,UAlbany
48,Aaron Scott,2.7882,1.8451,4.6333,St. John's (NY)
49,Aaron Smith,0.5726,-1.4592,-0.8866,Alabama A&M
50,Abdi Bashir,-1.7913,0.3882,-1.4031,Monmouth
51,Abdou Khadre Kebe,-0.8399,-2.2056,-3.0455,Mount St. Mary's
52,Abdou Samb,0.5157,-1.228,-0.7123,Towson
53,Abdou Tsimbila,-0.6087,-0.9143,-1.523,Fordham
54,Abdoulaye Thiam,1.1775,2.8625,4.04,High Point
55,Abdul Momoh,3.7812,1.1742,4.9553,Central Conn. St.
56,Abdulai Fanta Kabba,1.1032,-1.8656,-0.7624,Denver
57,Abou Magassa,0.8744,-0.0969,0.7775,Wyoming
58,Abou Ousmane,2.1004,0.9598,3.0602,Oklahoma State
59,Aboubacar Traore,-0.7484,0.6144,-0.134,Louisville
60,Abramo Canka,-2.2475,0.1699,-2.0776,Stetson
61,Ace Bailey,2.0242,3.2809,5.3052,Rutgers
62,Ace Baldwin,2.3415,3.3108,5.6523,Penn State
63,Ace Talbert,0.7129,-1.5251,-0.8121,Saint Francis
64,Ace Valentine,-2.0959,1.4024,-0.6935,UMBC
65,Achile Spadone,1.1356,-0.3329,0.8028,Bucknell
66,Achor Achor,-0.2375,-1.0555,-1.293,Kansas State
67,Adam Benhayoune,-0.3443,-0.0575,-0.4018,LSU
68,Adam Clark,1.9832,-0.1956,1.7876,Merrimack
69,Adam Comer,-0.0308,-0.6286,-0.6593,Col. of Charleston
70,Adam Hamilton,1.8354,-0.5826,1.2528,Lamar University
71,Adam Hinton,0.4428,1.4347,1.8775,Cornell
72,Adam Holod,0.2477,-0.1173,0.1304,American
73,Adam Miller,2.0177,0.2194,2.2371,Arizona State
74,Adam Moussa,1.2921,-0.384,0.9081,California Baptist
75,Adam Njie,0.1462,-0.008,0.1381,Iona
76,Adam Shoff,-0.0382,-0.2556,-0.2938,Montana
77,Adam Stewart,0.1573,0.1874,0.3448,TCU
78,Adam Tauer,0.4039,0.2122,0.6161,St. Thomas (MN)
79,Adama Bal,0.5289,2.3471,2.876,Santa Clara
80,Adante' Holiman,-1.0661,1.9943,0.9282,Ga. Southern
81,Aday Mara,2.6761,0.7935,3.4696,UCLA
82,Addison Arnold,0.1534,-0.2495,-0.0961,Arizona
83,Addison Patterson,1.8272,-1.0786,0.7486,Northwestern State
84,Ademide Badmus,-1.8924,-0.4626,-2.3551,Gardner-Webb
85,Ademola Oladipo,-0.1278,0.3754,0.2476,Alabama A&M
86,Aden Holloway,0.9368,4.3543,5.2911,Alabama
87,Aden Tagaloa-Nelson,0.106,-0.1039,0.0021,West Virginia
88,Adetokunbo Bakare,1.0112,0.5181,1.5294,Saint Peter's
89,Adou Thiero,3.0778,1.7786,4.8564,Arkansas
90,Adrian Samuels,0.8302,-0.0257,0.8046,American
91,Adrian Uchidiuno,0.2074,0.1196,0.327,Brown
92,Adrian Wooley,2.1729,1.928,4.1009,Kennesaw State
93,Afan Trnka,0.3189,-1.2147,-0.8958,UT Martin
94,Ahamad Bynum,0.1957,1.727,1.9228,UTEP
95,Ahmad Henderson,1.2368,1.7192,2.956,UIC
96,Ahmad Nowell,0.3076,0.9087,1.2163,UConn
97,Ahmad Robinson,1.2546,0.3484,1.603,Mercer
98,Ahmed Barba-Bey,-0.907,0.0688,-0.8383,FDU
99,Ahmed Essahaty,0.4736,-0.168,0.3056,Southeastern La.
100,Ahmet Jonovic,2.0311,1.8276,3.8586,Bradley
101,Ahmir Langlais,0.2699,-0.6358,-0.3659,Tennessee State
102,Ahron Ulis,-0.0766,-1.4112,-1.4878,Nebraska
103,Aidan Braccia,0.1762,-0.0938,0.0824,Belmont
