,player,DRAPM,ORAPM,Total_RAPM,team
0,AB Coulibaly,-2.3035,-1.9596,-4.2631,Rider
1,AC Bryant,-1.5702,4.6272,3.057,Jacksonville State
2,AJ Bates,-2.6365,3.917,1.2806,Louisiana Tech
3,AJ Casey,-2.4608,2.8582,0.3974,Evansville
4,AJ Clark,-2.7712,-2.0778,-4.849,VMI
5,AJ Dancler,-2.3097,1.3022,-1.0075,Coastal Carolina
6,AJ Dent,-1.0146,0.0985,-0.9161,Tarleton State
7,AJ Dybantsa,0.4995,12.0589,12.5584,BYU
8,AJ Economou,-0.3957,-1.4996,-1.8953,Hawaii
9,AJ Fowler,-0.2763,-0.2145,-0.4908,Col. of Charleston
10,AJ George,-4.3486,-0.5316,-4.8802,CSU Bakersfield
11,AJ Hopkins,0.5975,-0.3344,0.2631,UT Martin
12,AJ LaBeau,-0.4861,-0.0618,-0.5479,Cornell
13,AJ Levine,0.8286,-0.7653,0.0632,Penn
14,AJ Lopez,-3.7517,5.7058,1.9541,Richmond
15,AJ McBride,-0.2555,-0.1579,-0.4134,Niagara
16,AJ Patterson,-1.2805,-3.4772,-4.7578,Air Force
17,AJ Redd,-0.513,0.0998,-0.4132,Illinois
18,AJ Riggs,0.3499,0.4775,0.8274,Utah Valley
19,AJ Rohosy,-0.6056,2.6152,2.0096,Stanford
20,AJ Smith,-1.3387,5.2314,3.8928,Temple
21,AJ Smith,-1.3387,5.2314,3.8928,Bradley
22,AJ Staton-McCray,1.5356,3.5544,5.09,Seton Hall
23,AJ Storr,-3.645,3.4138,-0.2312,Ole Miss
24,AJ Swinton,0.6129,1.9432,2.5561,Florida State
25,AJ Thomas,-0.8349,-1.2674,-2.1023,LMU (CA)
26,AJ Wills,-0.1051,-0.6001,-0.7052,Hofstra
27,AK Okereke,-0.5265,4.5399,4.0134,Vanderbilt
28,Aaron Bradshaw,-0.1185,2.3438,2.2253,Memphis
29,Aaron Clark,-2.5146,3.6268,1.1122,Pepperdine
30,Aaron Davis,-3.266,1.0929,-2.1731,Bryant
31,Aaron Fine,-0.6655,-0.1364,-0.8019,Purdue
32,Aaron Franklin,-0.4644,1.1913,0.7269,Milwaukee
33,Aaron Hunkin-Claytor,2.0042,1.0469,3.0511,Hawaii
34,Aaron Jacob,-1.0924,0.7072,-0.3852,Oral Roberts
35,Aaron McBride,2.1098,2.7309,4.8407,LMU (CA)
36,Aaron Nkrumah,0.6472,4.1283,4.7755,Tennessee State
37,Aaron Price,-0.4856,-1.0392,-1.5249,Cal Poly
38,Abass Bodija,-0.6762,0.6514,-0.0249,Fordham
39,Abdi Bashir,-0.8718,5.0879,4.2161,Kansas State
40,Abdou Khadre Kebe,0.0496,-0.3385,-0.289,Mount St. Mary's
41,Abdou Samb,-0.1905,-0.5237,-0.7142,Towson
42,Abdou Yadd,-4.0646,-3.8638,-7.9283,Sacred Heart
43,Abdoulaye Fall,-1.7862,-0.4989,-2.2851,UAlbany
44,Abdul Momoh,-0.1057,1.7492,1.6435,UIC
45,Abdulai Fanta Kabba,0.1312,1.4523,1.5835,Western Caro.
46,Abdullah Ahmed,1.4183,0.0721,1.4905,BYU
47,Abdullah Amzil,-0.4,0.4014,0.0015,UC Davis
48,Abdullahi Bashir,-1.0913,-0.2628,-1.3541,Auburn
49,Abijah Franklin,0.8947,-1.0052,-0.1105,Furman
50,Abou Magassa,0.4148,-0.213,0.2018,Wyoming
51,Abraham Oyeadier,0.0558,-0.1703,-0.1145,West Virginia
52,Acaden Lewis,0.0115,3.3675,3.379,Villanova
53,Ace Buckner,-1.0156,4.1431,3.1275,Clemson
54,Ace Flagg,-1.0021,-1.6539,-2.656,Maine
55,Ace Glass lll,-0.5806,4.0918,3.5112,Washington State
56,Ace Valentine,-1.806,3.0861,1.28,UMBC
57,Achille Lonati,-1.6182,0.0565,-1.5618,St. Bonaventure
58,Achor Achor,-0.2598,1.882,1.6222,Mississippi State
59,Adam Clark,2.4443,4.2849,6.7291,Seton Hall
60,Adam Harakow,-2.1722,3.3864,1.2142,Wyoming
61,Adam Hinton,-2.4118,5.0166,2.6047,Cornell
62,Adam Miller,1.4511,2.714,4.1652,Gonzaga
63,Adam Olsen,-2.6206,3.8509,1.2303,South Alabama
64,Adam Stewart,-0.2134,-0.315,-0.5285,TCU
65,Adam Tauer,-0.7129,-0.0702,-0.7831,St. Thomas (MN)
66,Aday Mara,5.495,5.998,11.493,Michigan
67,Addarin Scott,-2.8741,-2.2113,-5.0854,Kansas City
68,Addison Archer,-1.6674,-0.7359,-2.4033,Northern Ky.
69,Addison Arnold,-0.7883,-0.411,-1.1993,Arizona
70,Addison Patterson,0.1912,2.8541,3.0454,Eastern Mich.
71,Ade Popoola,-0.6194,5.31,4.6905,Tulsa
72,Aden Holloway,-0.9812,9.4867,8.5055,Alabama
73,Adetokunbo Bakare,-1.4652,0.8541,-0.6111,Saint Peter's
74,Adlan Elamin,0.1303,3.9413,4.0715,Utah State
75,Adria Rodriguez,1.6488,-0.1323,1.5165,Washington State
76,Adrian McIntyre,-1.0099,4.6078,3.5979,San Diego
77,Adrian Myers,-2.6786,2.7345,0.0559,San Jose State
78,Adrian Uchidiuno,-1.819,-2.0344,-3.8534,Brown
79,Adrian Wooley,1.5404,5.6885,7.2289,Louisville
80,Adriel Nyorha,-1.2273,1.5634,0.336,South Fla.
81,Adrien Stevens,0.8503,3.1042,3.9545,Marquette
82,Afan Trnka,-1.6213,-1.5567,-3.178,UT Martin
83,Aginaldo Neto,1.0458,-0.6125,0.4333,Boise State
84,Ahmad Henderson,-1.582,0.8072,-0.7748,UIC
85,Ahmad Nowell,-0.4144,1.7776,1.3633,VCU
86,Ahmad Robinson,0.3436,1.0602,1.4038,UAB
87,Ahmet Jonovic,-0.1835,1.2037,1.0202,Bradley
88,Aidan Alexander,-0.2577,-0.7119,-0.9695,The Citadel
89,Aidan Braccia,-0.5099,-1.4528,-1.9627,San Francisco
90,Aidan Burke,-1.0298,2.8851,1.8553,UC San Diego
91,Aidan Cammann,-0.6075,3.3067,2.6992,Stanford
92,Aidan Crotty,-0.3247,-0.4067,-0.7313,Fordham
93,Aidan Driggers,0.4389,0.2957,0.7346,Jacksonville State
94,Aidan Hadaway,-1.4877,2.9981,1.5103,Ohio
95,Aidan Haskins,-0.2036,0.5743,0.3706,Hampton
96,Aidan Mahaney,-3.5522,3.0427,-0.5094,UC Santa Barbara
97,Aidan Noyes,-2.7622,2.0728,-0.6895,Belmont
98,Aidan Rubio,-2.1897,-0.4344,-2.624,Eastern Mich.
99,Aidan Sevilla,-0.6113,-0.3881,-0.9995,Idaho
100,Aidan Shaw,0.4422,-0.2151,0.2271,Boston College
101,Aidan Skradis,-0.1734,0.0475,-0.1259,Omaha
102,Aiden Argabright,0.5548,3.3498,3.9047,Richmond
103,Aiden Goins,1.1058,-0.2721,0.8337,Bowling Green
104,Aiden Miller,-3.2325,0.8564,-2.3761,IU Indy
105,Aiden Sherrell,2.1046,6.809,8.9136,Alabama
106,Aiden Tobiason,-2.6908,4.6746,1.9837,Temple
107,Aitor Anabitarte,1.4135,1.3271,2.7406,Jacksonville State
108,Ajay Holubar,-0.0032,-0.3102,-0.3134,IU Indy
109,Ajay Sheldon,-0.8522,2.0814,1.2292,Ohio
110,Ajay Tew,-0.5805,-0.3433,-0.9238,ULM
111,Akai Fleming,-1.8133,1.415,-0.3983,Georgia Tech
112,Akintola Akinniyi,-0.176,0.0017,-0.1743,Quinnipiac
113,Akira Jacobs,0.0204,1.3808,1.4012,Fordham
114,Akiva McBirney-Griffin,1.0903,-3.4671,-2.3768,UC Irvine
115,Al Amadou,-1.1371,-1.1533,-2.2904,Saint Joseph's
116,Al Green,-2.5396,2.5768,0.0372,UNLV
117,Albert Vargas,-1.7391,0.2736,-1.4656,Robert Morris
118,Alden Applewhite,-2.99,4.5005,1.5104,Ga. Southern
119,Alec Blair,-0.0214,-0.0052,-0.0266,Oklahoma
120,Alec Millender,0.0142,-0.4621,-0.4479,UConn
121,Alec Oglesby,-0.2356,1.7432,1.5076,Middle Tenn.
122,Alec Squires,-0.1399,-0.3449,-0.4848,South Dakota State
123,Alejandro Aviles,0.8784,-1.4397,-0.5613,San Diego
124,Aleks Alston,-0.8506,-1.7966,-2.6471,Maryland
125,Aleks Szymczyk,-0.1117,-0.3567,-0.4684,CSUN
126,Aleksa Ristic,-0.9381,-0.4279,-1.366,Indiana
127,Aleksa Vlajic,0.0282,0.054,0.0822,Buffalo
128,Aleksas Bieliauskas,-0.7059,3.0707,2.3648,Wisconsin
129,Aleksej Kostic,-1.4163,0.2974,-1.1189,BYU
130,Alem Fejzic,-1.0395,-2.1886,-3.2281,Southern Ind.
131,Alex Bossinakis,0.4259,0.3141,0.74,UT Arlington
