,player,DRAPM,ORAPM,Total_RAPM
0,A'lahn Sumler,0.6219,3.0923,3.7142
1,AB Coulibaly,-0.2816,-1.4069,-1.6885
2,AC Bryant,0.1902,3.7928,3.983
3,AD Diedhiou,1.9171,0.0106,1.9276
4,AJ Allenspach,-0.1021,1.6675,1.5654
5,AJ Barnes,1.118,0.7083,1.8263
6,AJ Bates,1.12,4.3602,5.4802
7,AJ Braun,2.8977,1.3237,4.2213
8,AJ Brown,-0.2088,2.5026,2.2939
9,AJ Burgin,1.548,3.1636,4.7116
10,AJ Cajuste,1.2108,4.4381,5.6489
11,AJ Casey,2.0637,0.0353,2.099
12,AJ Clark,2.1806,-2.83,-0.6494
13,AJ Clayton,3.2625,5.5528,8.8153
14,AJ Dancler,-0.5405,-0.3302,-0.8707
15,AJ Dent,-1.5502,0.2367,-1.3136
16,AJ Dybantsa,3.0075,6.4161,9.4236
17,AJ Economou,0.3621,-0.2621,0.1
18,AJ Ferguson,1.7468,3.1994,4.9462
19,AJ Fowler,-0.3951,-0.3139,-0.7089
20,AJ George,0.026,3.6781,3.7041
21,AJ Hoggard,2.0776,4.8573,6.9349
22,AJ Hopkins,4.1417,-2.1441,1.9975
23,AJ Hoynack,-0.9628,-0.2193,-1.1821
24,AJ LaBeau,1.5587,-0.331,1.2277
25,AJ Levine,2.0276,0.9648,2.9924
26,AJ Lopez,-0.9999,2.1497,1.1498
27,AJ Lux,2.5391,-1.9037,0.6354
28,AJ Magbegor,2.0061,-1.8496,0.1566
29,AJ McBride,-0.0999,-0.2733,-0.3732
30,AJ McGinnis,1.5366,2.2579,3.7945
31,AJ McKee,0.0663,2.8087,2.8751
32,AJ Neal,-1.7217,0.9583,-0.7634
33,AJ Patterson,0.1544,-1.2251,-1.0707
34,AJ Redd,0.033,-0.5566,-0.5236
35,AJ Riggs,1.45,0.1336,1.5835
36,AJ Robinson,-0.3029,-0.402,-0.7049
37,AJ Rodriguez,0.1832,-0.4788,-0.2956
38,AJ Rohosy,0.8846,3.2773,4.162
39,AJ Shaw,-1.0496,-1.5543,-2.6039
40,AJ Smith,1.4466,3.1988,4.6454
41,AJ Staton-McCray,1.7027,3.1973,4.9001
42,AJ Storr,-0.5209,1.5205,0.9996
43,AJ Swinton,1.2787,1.6417,2.9204
44,AJ Thomas,-0.7766,-0.9049,-1.6815
45,AJ Wills,-0.8538,-0.5569,-1.4107
46,AK Fihla,-0.1998,-0.0828,-0.2826
