,player,DRAPM,ORAPM,Total_RAPM
0,A'lahn Sumler,-2.2166,5.3096,3.0929
1,AB Coulibaly,-2.4059,-1.5668,-3.9726
2,AC Bryant,-2.8533,6.339,3.4857
3,AD Diedhiou,-0.989,-0.3002,-1.2892
4,AJ Allenspach,-2.8113,2.0017,-0.8096
5,AJ Barnes,-0.8525,1.1514,0.2989
6,AJ Bates,-1.8035,4.5443,2.7408
7,AJ Braun,-0.4595,2.2439,1.7844
8,AJ Brown,-1.5726,3.1743,1.6016
9,AJ Burgin,-1.7464,2.9036,1.1571
10,AJ Cajuste,-0.7673,2.1812,1.4138
11,AJ Casey,-0.7815,2.9305,2.1491
12,AJ Clark,0.5733,-1.8078,-1.2345
13,AJ Clayton,0.6074,6.8131,7.4205
14,AJ Dancler,-4.3611,3.0988,-1.2623
15,AJ Dent,-0.8154,0.1638,-0.6517
16,AJ Dybantsa,1.4253,11.2079,12.6332
17,AJ Economou,-0.7265,-2.0484,-2.775
18,AJ Ferguson,-0.0869,3.6447,3.5577
19,AJ Fowler,-0.2768,-0.2052,-0.482
20,AJ George,-3.8057,4.7331,0.9275
21,AJ Hoggard,0.7187,4.7059,5.4246
22,AJ Hopkins,1.1233,-1.7111,-0.5878
23,AJ Hoynack,-0.768,-0.1668,-0.9348
24,AJ LaBeau,-0.2253,-0.2231,-0.4484
25,AJ Levine,0.1495,-0.7972,-0.6476
26,AJ Lopez,-4.0547,3.7731,-0.2817
27,AJ Lux,-0.4805,-1.5487,-2.0293
28,AJ Magbegor,-0.2069,-1.9932,-2.2002
29,AJ McBride,-0.5121,-0.1606,-0.6727
30,AJ McGinnis,-2.5756,3.0755,0.4999
31,AJ McKee,-1.6745,4.0591,2.3846
32,AJ Neal,-3.0907,-0.2208,-3.3115
33,AJ Patterson,-1.6316,-3.1957,-4.8273
34,AJ Redd,-0.6485,-0.7286,-1.3771
35,AJ Riggs,0.2992,0.5494,0.8486
36,AJ Robinson,-0.2916,-0.3013,-0.5929
37,AJ Rodriguez,-0.351,-0.3534,-0.7044
38,AJ Rohosy,-0.791,2.7947,2.0037
39,AJ Shaw,-1.2943,-0.7049,-1.9992
40,AJ Smith,-1.9639,5.5696,3.6057
41,AJ Staton-McCray,-0.8961,4.1495,3.2534
42,AJ Storr,-3.3154,4.1571,0.8417
43,AJ Swinton,0.3025,1.9567,2.2592
44,AJ Thomas,-1.3432,-1.3826,-2.7259
45,AJ Wills,-3.5146,0.3971,-3.1175
46,AK Fihla,-0.1653,-0.0663,-0.2316
47,AK Okereke,-0.0924,6.828,6.7356
48,Aa'reyon Munir-Jones,-1.021,2.2664,1.2454
49,Aamer Muhammad,-1.4707,1.7621,0.2915
50,Aanen Moody,-1.2964,6.9148,5.6184
51,Aaron Bradshaw,1.3061,3.7796,5.0857
52,Aaron Cash,0.8994,3.6854,4.5848
53,Aaron Clark,-2.8501,3.5628,0.7126
54,Aaron Clarke,-0.9438,3.2647,2.3209
55,Aaron Cooley,-1.5522,0.7229,-0.8293
56,Aaron Davis,-3.7819,1.552,-2.2299
57,Aaron Deloney,-0.1328,3.7172,3.5844
58,Aaron Estrada,0.723,8.764,9.487
59,Aaron Fine,-0.6792,-0.1402,-0.8194
60,Aaron Franklin,-2.5514,2.3672,-0.1842
61,Aaron Gray,-2.7456,1.3106,-1.435
62,Aaron Harden,-0.4936,-1.0792,-1.5728
63,Aaron Humphrey,-0.2418,0.0001,-0.2418
64,Aaron Hunkin-Claytor,1.4448,1.2498,2.6946
65,Aaron Jacob,-1.162,0.7984,-0.3637
66,Aaron McBride,3.2644,3.2951,6.5596
67,Aaron Nkrumah,-0.4836,5.5491,5.0655
68,Aaron Oh,-0.6454,-0.4871,-1.1325
69,Aaron Potter,0.2048,1.4574,1.6622
70,Aaron Powell,-1.0418,-1.4305,-2.4723
71,Aaron Price,-1.8794,-2.1268,-4.0062
72,Aaron Reddish,-1.2587,-0.0613,-1.32
73,Aaron Scott,3.0376,3.522,6.5596
74,Aaron Smith,-1.3871,-2.0604,-3.4475
75,Abass Bodija,-0.3863,0.3758,-0.0105
76,Abdi Bashir,-6.0674,4.2632,-1.8042
77,Abdou Khadre Kebe,-1.6579,-2.8722,-4.5302
78,Abdou Samb,-3.0078,-4.0378,-7.0456
79,Abdou Tsimbila,-0.4829,-0.2882,-0.7711
80,Abdou Yadd,-4.2656,-3.6647,-7.9303
81,Abdoul Karim Coulibaly,1.2305,1.2062,2.4367
82,Abdoulaye Fall,-1.762,-0.1918,-1.9538
83,Abdoulaye Thiam,-2.4758,3.867,1.3912
84,Abdul Momoh,1.0486,3.6105,4.6591
85,Abdulai Fanta Kabba,0.9004,0.7168,1.6172
86,Abdullah Ahmed,1.5232,0.3545,1.8777
87,Abdullah Amzil,-0.4186,0.4448,0.0262
88,Abdullah Olajuwon,0.2368,-3.6916,-3.4548
89,Abdullahi Bashir,-1.0837,-0.2142,-1.2979
90,Abe Atiyeh,-0.559,-0.1281,-0.6871
91,Abe Johnson,0.3417,1.026,1.3678
92,Abijah Franklin,0.8967,-0.881,0.0157
93,Abou Magassa,0.9293,0.8177,1.7469
94,Abou Ousmane,3.5931,2.8489,6.442
95,Aboubacar Traore,0.6142,3.4587,4.0729
96,Abraham Oyeadier,0.0534,-0.1654,-0.112
97,Abramo Canka,-4.2471,0.0068,-4.2403
98,Acaden Lewis,0.176,3.0319,3.2079
99,Ace Bailey,1.8742,7.0089,8.8831
100,Ace Baldwin,1.5151,8.6629,10.1781
101,Ace Buckner,-1.2461,3.9567,2.7105
102,Ace Flagg,-1.2763,-1.6197,-2.896
103,Ace Glass lll,-0.823,5.192,4.3689
104,Ace Talbert,-0.7258,1.1598,0.434
105,Ace Valentine,-2.8617,4.2865,1.4248
106,Achile Spadone,-0.829,1.5391,0.7101
107,Achille Lonati,-1.7711,0.2963,-1.4748
108,Achor Achor,1.049,3.9974,5.0463
109,Adam Benhayoune,-1.1894,-0.1727,-1.362
110,Adam Cisse,1.147,-1.556,-0.409
111,Adam Clark,2.579,5.9752,8.5542
112,Adam Comer,-0.8172,-1.0263,-1.8436
113,Adam Hamilton,-0.1946,1.8956,1.7009
114,Adam Harakow,-2.4687,3.9566,1.4879
115,Adam Hess,-3.1138,0.8377,-2.2761
116,Adam Hinton,-2.0681,6.4576,4.3895
117,Adam Holod,-0.0247,-0.2367,-0.2615
118,Adam Larson,-3.3768,-0.7779,-4.1547
119,Adam Miller,1.0748,4.3933,5.4681
120,Adam Moussa,0.2343,0.919,1.1533
121,Adam Njie,-1.6977,0.4386,-1.2591
122,Adam Olsen,-3.148,3.9551,0.807
123,Adam Shoff,-1.0836,-1.2936,-2.3772
124,Adam Stewart,-0.0772,-0.0627,-0.1399
125,Adam Tauer,-0.6631,0.3061,-0.357
126,Adama Bal,-0.9017,5.4813,4.5797
127,Adante' Holiman,-2.8983,2.1504,-0.7479
128,Aday Mara,5.0934,6.5963,11.6896
129,Addarin Scott,-2.7228,-2.0568,-4.7796
130,Addison Archer,-1.6689,-0.6379,-2.3069
131,Addison Arnold,-0.759,-0.7643,-1.5232
132,Addison Patterson,1.3117,3.7337,5.0454
133,Ade Adebayo,1.3561,-0.4036,0.9525
134,Ade Popoola,-0.5171,6.3066,5.7895
135,Adefemi Akinwole,0.0289,0.0774,0.1063
136,Adem Bona,4.3715,2.9832,7.3548
137,Ademide Badmus,-2.3967,-0.7979,-3.1946
138,Ademola Oladipo,-0.5992,0.1751,-0.424
139,Aden Haas,-0.4533,-0.1681,-0.6214
140,Aden Holloway,-0.8916,8.9075,8.0159
141,Aden Tagaloa-Nelson,-0.315,-0.4555,-0.7705
142,Adeola Seun,4.3972,-2.726,1.6712
143,Adetokunbo Bakare,-1.0673,2.8141,1.7468
144,Adlan Elamin,0.5768,4.6778,5.2546
145,Adou Thiero,2.5627,5.4521,8.0148
146,Adrame Diongue,1.4316,-2.1454,-0.7138
147,Adria Rodriguez,0.8262,1.966,2.7921
148,Adrian McIntyre,-1.4365,4.7768,3.3403
149,Adrian Myers,-3.823,1.741,-2.082
150,Adrian Samuels,0.9872,-2.1595,-1.1723
151,Adrian Uchidiuno,-1.6445,-1.0007,-2.6452
152,Adrian Wooley,1.2409,7.7884,9.0293
153,Adriel Nyorha,-1.2425,1.5356,0.2931
154,Adrien Stevens,0.4164,3.1783,3.5948
155,Afan Trnka,-2.178,-1.636,-3.8139
156,Aginaldo Neto,0.6582,-0.2149,0.4433
157,Ahamad Bynum,-1.6557,3.9657,2.31
158,Ahjany Lee,-1.1786,-0.1028,-1.2815
159,Ahmad Hamilton,-0.781,-0.9365,-1.7175
160,Ahmad Henderson,-3.5787,3.2658,-0.3128
161,Ahmad Nowell,-0.8348,2.7934,1.9586
162,Ahmad Robinson,-0.4394,3.5412,3.1019
163,Ahmard Harvey,0.0711,-0.1184,-0.0473
164,Ahmed Barba-Bey,-2.9669,0.5846,-2.3822
165,Ahmed Essahaty,-3.4034,-1.9469,-5.3503
166,Ahmet Jonovic,0.3142,1.3205,1.6348
167,Ahmir Langlais,-0.5785,-2.11,-2.6885
168,Ahren Freeman,-0.8924,0.1679,-0.7245
169,Ahron Ulis,-0.3942,-1.6801,-2.0742
170,Aidan Alexander,-0.2849,-0.6762,-0.9611
171,Aidan Braccia,-0.5788,-1.6685,-2.2473
172,Aidan Burke,-0.5675,4.7282,4.1607
173,Aidan Cammann,1.069,3.2919,4.3609
174,Aidan Carpenter,-2.1642,2.549,0.3848
175,Aidan Crotty,-0.3617,-0.3479,-0.7096
176,Aidan Driggers,0.6786,0.27,0.9486
177,Aidan Hadaway,0.4212,5.2193,5.6405
178,Aidan Harris,-0.8532,0.3424,-0.5109
179,Aidan Haskins,-0.2817,0.569,0.2874
180,Aidan Igiehon,-1.5833,-3.3715,-4.9548
181,Aidan Kehoe,-0.707,1.7694,1.0624
182,Aidan Konop,-0.3467,-0.0858,-0.4325
183,Aidan Mahaney,-3.1793,3.7363,0.557
184,Aidan McCool,-0.2213,-1.1341,-1.3553
185,Aidan Mckeon,-0.1634,-0.529,-0.6924
186,Aidan Noyes,-1.6623,3.5311,1.8687
187,Aidan Prukop,-1.3778,-0.2115,-1.5893
188,Aidan Reichert,-3.2575,4.1822,0.9247
189,Aidan Richard,-2.2495,-1.8222,-4.0718
190,Aidan Rubio,-2.3649,-0.2021,-2.567
191,Aidan Sevilla,-0.7561,-0.2327,-0.9888
192,Aidan Shaw,-0.2596,2.0263,1.7666
193,Aidan Skradis,-0.3841,0.1066,-0.2775
194,Aiden Argabright,0.7152,3.0999,3.8151
195,Aiden Goins,0.9835,-0.3565,0.6271
196,Aiden Miller,-3.5007,1.1553,-2.3454
197,Aiden Sherrell,2.1293,7.4107,9.5399
198,Aiden Terry,0.1798,0.0514,0.2312
199,Aiden Tobiason,-3.1756,6.0352,2.8596
200,Aime Rutayisire,-1.5001,0.4765,-1.0236
201,Airion Simmons,2.4552,0.9496,3.4049
202,Aitor Anabitarte,0.4109,1.0539,1.4649
203,Ajay Holubar,-1.3408,1.0073,-0.3334
204,Ajay Mitchell,1.2785,6.2072,7.4857
205,Ajay Sheldon,-1.632,3.2785,1.6465
206,Ajay Tew,-1.2985,-0.0214,-1.3199
207,Akai Fleming,-1.4432,2.0077,0.5645
208,Akil Watson,-0.8945,-1.6533,-2.5477
209,Akili Evans,-0.4309,-2.3789,-2.8098
210,Akili Vining,-1.0813,2.0568,0.9755
211,Akintola Akinniyi,-0.2568,-0.2314,-0.4882
212,Akira Jacobs,-1.6561,2.2641,0.608
213,Akiva McBirney-Griffin,1.238,-3.8425,-2.6046
214,Akok Akok,0.4447,-0.0622,0.3825
215,Akol Mawein,-0.6963,1.2497,0.5533
