,player,DRAPM,ORAPM,Total_RAPM,team
0,A'Jah Davis,2.9695,1.7601,4.7296,Seton Hall
1,A'riel Jackson,1.0971,1.0965,2.1936,Cincinnati
2,AC Markham,0.935,-0.656,0.279,USC Upstate
3,AJ Ediger,-0.5395,1.2565,0.717,Iowa
4,AJ Marotte,1.9282,2.9257,4.8539,Oregon State
5,Aaliyah Alexander,0.1491,2.4851,2.6342,Eastern Wash.
6,Aaliyah Collins,-0.0095,-0.7603,-0.7698,High Point
7,Aaliyah Duranham,0.0102,-1.9083,-1.8981,Mississippi Val.
8,Aaliyah Edwards,3.4331,3.4165,6.8496,UConn
9,Aaliyah Frazier,-0.6442,-0.4624,-1.1066,Howard
10,Aaliyah Gayles,-0.1443,0.6841,0.5399,Southern California
11,Aaliyah Henderson,0.7736,-0.575,0.1986,SMU
12,Aaliyah Hunt,1.0797,-0.0003,1.0794,Georgia State
13,Aaliyah McMillan,-0.0968,-0.0216,-0.1184,UTRGV
14,Aaliyah Moore,3.3669,3.7364,7.1033,Texas
15,Aaliyah Moore,3.3669,3.7364,7.1033,Loyola Chicago
16,Aaliyah Nye,0.8596,3.6972,4.5569,Alabama
17,Aaliyah Parker,2.1792,3.131,5.3102,Niagara
18,Aaliyah Pitts,-0.1485,-1.5893,-1.7378,Western Ky.
19,Aaliyah Roberson,-0.954,1.4545,0.5005,TCU
20,Aaliyah Stanley,-1.2071,1.5611,0.354,Omaha
21,Aaliyah Stanton,-1.6944,0.9761,-0.7182,UTEP
22,Aalyah Del Rosario,1.3005,0.8106,2.1111,LSU
23,Aanaya Harris,-1.6405,-2.4024,-4.0429,Xavier
24,Aaniya Webb,-0.0491,-1.4259,-1.475,Tennessee State
25,Aannah Interrante,-3.0165,0.0945,-2.922,Seattle U
26,Aarionna Redman,1.1447,2.3008,3.4455,Marshall
27,Aaronette Vonleh,1.6454,2.5977,4.2431,Colorado
28,Aaryn Battle,0.6983,1.6555,2.3538,Pittsburgh
29,Aasia Sam,-0.9267,-0.499,-1.4257,Louisiana
30,Abaigeal Babore,-1.0619,0.1435,-0.9184,FDU
31,Abbey Cracknell,0.0926,-0.2971,-0.2045,Marquette
32,Abbey Ellis,0.2289,2.5355,2.7644,Purdue
33,Abbey Ferguson,1.2033,0.204,1.4073,Colgate
34,Abbey Hsu,0.5561,5.0126,5.5687,Columbia
35,Abbey Kimball,1.5306,3.1364,4.667,Michigan State
36,Abbey Lindsey,-2.0507,-1.6013,-3.652,UMass Lowell
37,Abbey Schreacke,-0.1215,2.8328,2.7113,Missouri
38,Abbie Aalsma,-0.4573,2.9038,2.4465,Illinois State
39,Abbie Davidson,0.2961,0.101,0.3971,Youngstown State
