,player,DRAPM,ORAPM,Total_RAPM,team
0,A'Jah Davis,2.4949,2.4034,4.8983,Seton Hall
1,A'riel Jackson,0.8081,2.3855,3.1936,Cincinnati
2,AC Markham,-0.8234,-0.7783,-1.6017,USC Upstate
3,AJ Ediger,-0.6904,2.0567,1.3663,Iowa
4,AJ Marotte,1.5857,3.3384,4.9241,Oregon State
5,Aaliyah Alexander,-2.3155,4.5183,2.2028,Eastern Wash.
6,Aaliyah Collins,-0.4524,-1.4314,-1.8838,High Point
7,Aaliyah Duranham,-2.1506,-2.2184,-4.369,Mississippi Val.
8,Aaliyah Edwards,4.0775,7.1963,11.2739,UConn
9,Aaliyah Frazier,-1.1751,-1.0543,-2.2294,Howard
10,Aaliyah Gayles,-0.6618,-0.1241,-0.7859,Southern California
11,Aaliyah Henderson,0.396,-1.7056,-1.3096,SMU
12,Aaliyah Hunt,0.951,0.6956,1.6466,Georgia State
13,Aaliyah McMillan,-0.1677,-0.0763,-0.244,UTRGV
14,Aaliyah Moore,3.1911,6.9034,10.0945,Texas
15,Aaliyah Moore,3.1911,6.9034,10.0945,Loyola Chicago
16,Aaliyah Nye,1.0418,7.9587,9.0006,Alabama
17,Aaliyah Parker,2.4333,5.6853,8.1186,Niagara
18,Aaliyah Pitts,-2.1025,-1.1491,-3.2517,Western Ky.
19,Aaliyah Roberson,-0.928,4.3208,3.3929,TCU
20,Aaliyah Stanley,-3.2467,4.3722,1.1256,Omaha
21,Aaliyah Stanton,-4.0323,1.1488,-2.8834,UTEP
22,Aalyah Del Rosario,1.2952,2.5642,3.8594,LSU
23,Aanaya Harris,-2.9088,-2.9389,-5.8477,Xavier
24,Aaniya Webb,-2.5271,-2.2165,-4.7436,Tennessee State
25,Aannah Interrante,-5.5294,1.5257,-4.0037,Seattle U
26,Aarionna Redman,0.5414,1.3468,1.8882,Marshall
27,Aaronette Vonleh,2.245,5.9739,8.2188,Colorado
28,Aaryn Battle,-0.5257,1.8449,1.3192,Pittsburgh
29,Aasia Sam,-1.7481,-0.7243,-2.4725,Louisiana
30,Abaigeal Babore,-2.8001,-1.5588,-4.3589,FDU
31,Abbey Cracknell,-0.2947,-1.0473,-1.342,Marquette
32,Abbey Ellis,-0.5043,6.5492,6.0449,Purdue
33,Abbey Ferguson,0.6008,0.0975,0.6983,Colgate
34,Abbey Hsu,-0.8389,10.3988,9.5599,Columbia
35,Abbey Kimball,0.4833,4.6103,5.0936,Michigan State
36,Abbey Lindsey,-5.0121,-1.2536,-6.2656,UMass Lowell
37,Abbey Schreacke,-1.0486,5.456,4.4074,Missouri
38,Abbie Aalsma,-1.5518,3.9666,2.4147,Illinois State
39,Abbie Davidson,-0.1774,-0.5633,-0.7407,Youngstown State
40,Abbie Draper,-0.383,7.0133,6.6303,North Dakota State
41,Abbie Riddle,0.1659,-0.3498,-0.1839,Bowling Green
42,Abby Antognoli,-5.2507,0.7185,-4.5322,Lafayette
43,Abby Beeman,-0.0633,9.2984,9.2351,Marshall
44,Abby Cater,0.1399,0.6154,0.7553,Austin Peay
45,Abby Conklin,-4.2511,1.6731,-2.578,FDU
46,Abby Conlee,-0.3245,-1.2606,-1.5851,Utah Valley
47,Abby Feit,-0.4628,3.716,3.2532,Missouri
48,Abby Graham,-1.9949,-0.1405,-2.1354,North Dakota State
49,Abby Hendricks,-0.0159,0.0245,0.0085,Utah Valley
50,Abby Holtman,-0.6888,-1.6484,-2.3372,Cincinnati
51,Abby Jegede,-1.2653,1.3334,0.0681,Villanova
