,player,DRAPM,ORAPM,Total_RAPM
0,A'Jah Davis,4.8721,2.2993,7.1713
1,A'Yiana Flemings,0.5167,1.1176,1.6343
2,A'riel Jackson,2.1908,3.911,6.1018
3,AC Markham,0.9189,-1.3652,-0.4463
4,AJ Ediger,-2.5882,2.856,0.2677
5,AJ Marotte,1.5884,2.2668,3.8553
6,Aaiyanna Dunbar,1.4705,1.2901,2.7606
7,Aalayah Wilson,-0.7063,-1.7508,-2.4571
8,Aaliyah Alexander,1.3207,6.0684,7.3891
9,Aaliyah Chavez,4.6754,2.6095,7.2849
10,Aaliyah Collins,4.0857,0.7794,4.8652
11,Aaliyah Crump,1.7172,2.5434,4.2607
12,Aaliyah Davis,-2.4264,-1.6581,-4.0845
13,Aaliyah Duranham,1.8568,0.3657,2.2225
14,Aaliyah Edwards,2.8439,3.0432,5.8871
15,Aaliyah Ellis,1.2772,-0.245,1.0322
16,Aaliyah Frazier,-1.1662,-0.7706,-1.9367
17,Aaliyah Gayles,-1.5761,-0.0295,-1.6056
18,Aaliyah Grant,-0.0164,0.1176,0.1012
19,Aaliyah Guyton,3.2914,2.7086,6.0
20,Aaliyah Henderson,1.3606,0.1596,1.5202
21,Aaliyah Holmes,-0.773,1.8402,1.0672
22,Aaliyah Hunt,1.2339,0.3158,1.5497
23,Aaliyah Ibarra,2.0359,-1.207,0.8289
24,Aaliyah McMillan,-0.5845,-0.1068,-0.6913
25,Aaliyah McQueen,1.4151,1.7853,3.2004
26,Aaliyah Moore,2.9294,5.2108,8.1403
27,Aaliyah Nye,4.4105,7.1899,11.6003
28,Aaliyah Parker,5.0639,6.2091,11.273
29,Aaliyah Pitts,-0.377,-1.7258,-2.1028
30,Aaliyah Roberson,-1.5879,4.9815,3.3937
31,Aaliyah Stanley,-0.5284,3.3469,2.8185
32,Aaliyah Stanton,-1.4155,2.3527,0.9372
33,Aaliyah Taylor,-0.8691,-2.3703,-3.2394
34,Aalyah Del Rosario,2.8598,1.4436,4.3033
35,Aanaya Harris,-2.2542,-3.7148,-5.969
36,Aaniya Webb,-2.1151,-1.7955,-3.9106
37,Aannah Interrante,-3.1362,1.0358,-2.1004
38,Aarionna Redman,2.273,4.6524,6.9254
39,Aaronette Vonleh,2.7822,5.8755,8.6577
40,Aaryn Battle,1.4588,3.4563,4.9151
41,Aasia Sam,-0.8183,1.4404,0.6221
42,Abaigeal Babore,-0.4956,1.2291,0.7335
43,Abbey Cracknell,2.5185,-1.3034,1.2151
44,Abbey Ellis,1.6402,5.102,6.7422
45,Abbey Ferguson,2.3887,-4.0323,-1.6436
46,Abbey Hsu,0.4288,5.9986,6.4274
47,Abbey Kimball,3.1379,4.9772,8.1151
48,Abbey Lindsey,-1.3332,-1.4275,-2.7607
49,Abbey Schreacke,1.6228,6.6566,8.2793
50,Abbie Aalsma,-0.1992,8.0267,7.8276
51,Abbie Davidson,0.8901,0.4733,1.3634
52,Abbie Draper,1.7927,3.5129,5.3056
53,Abbie Riddle,1.0373,-0.1711,0.8662
54,Abby Antognoli,-5.076,-1.6207,-6.6967
55,Abby Beeman,0.7483,6.2935,7.0418
56,Abby Cater,3.2019,-0.1057,3.0962
57,Abby Conklin,-1.4023,-0.309,-1.7113
58,Abby Conlee,-1.0949,-2.0062,-3.101
59,Abby Eller,0.5008,1.5234,2.0242
60,Abby Feit,0.6419,2.1529,2.7947
61,Abby Graham,0.4753,3.3222,3.7975
62,Abby Hendricks,0.2988,0.3312,0.63
63,Abby Holtman,-3.2686,0.8265,-2.4421
64,Abby Jegede,1.1951,-0.1535,1.0416
65,Abby Knauff,1.0781,-2.4977,-1.4196
66,Abby Krzewinski,1.1261,5.0045,6.1306
67,Abby Liber,0.8212,-2.4799,-1.6587
68,Abby Misier,-0.9021,-1.2144,-2.1165
69,Abby Muse,2.9586,1.376,4.3346
70,Abby Ogle,1.7536,-1.0412,0.7124
71,Abby Price,3.5456,0.3488,3.8945
72,Abby Prohaska,2.3824,3.1157,5.4981
73,Abby Ray,6.0053,1.1649,7.1702
74,Abby Schulte,0.938,0.1385,1.0764
75,Abby Sharpe,2.2683,0.164,2.4323
76,Abby Stephens,-0.6183,-0.0524,-0.6707
77,Abby Stoddard,-0.1214,-0.2728,-0.3942
78,Abby Wolterman,-0.2402,0.6427,0.4024
79,Abigail Holtman,0.2387,2.9992,3.2379
80,Abigail Jegede,-1.0248,-0.6018,-1.6266
81,Abigail Long,-0.7473,1.7907,1.0434
82,Abigail Shoff,0.7468,1.5536,2.3003
83,Abigail Wilson,-0.7635,-0.6151,-1.3786
84,Abigail Wright,0.1785,2.9891,3.1676
85,Abimbola Adewumi,-0.2171,-0.4329,-0.65
86,Aby Shubert,-0.36,2.1283,1.7684
87,Acacia Hayes,-0.8761,3.2414,2.3653
88,Ace Austin,3.7582,3.8818,7.64
89,Achol Akot,2.6195,5.6924,8.312
90,Achol Magot,1.7722,1.4524,3.2247
91,Ada Anamekwe,4.0292,0.7124,4.7417
92,Adalia McKenzie,2.1699,5.4827,7.6526
93,Adalyn Koelling,-0.7869,0.1922,-0.5947
94,Adaora Nwokeji,0.3053,0.8752,1.1805
95,Adaora Onwumelu,0.9404,-0.8401,0.1002
