,player,DRAPM,ORAPM,Total_RAPM
0,A'Jah Davis,3.0933,2.3916,5.4849
1,A'Yiana Flemings,0.2514,0.9101,1.1615
2,A'riel Jackson,0.4834,4.5194,5.0028
3,AC Markham,-0.6148,-0.3005,-0.9153
4,AJ Ediger,-2.3812,2.4679,0.0867
5,AJ Marotte,0.2844,3.1587,3.4431
6,Aaiyanna Dunbar,0.8522,1.1519,2.0041
7,Aalayah Wilson,-0.8729,-0.954,-1.8269
8,Aaliyah Alexander,-0.1473,6.6687,6.5214
9,Aaliyah Chavez,3.0216,3.4186,6.4403
10,Aaliyah Collins,2.3163,1.9454,4.2617
11,Aaliyah Crump,0.8931,2.7645,3.6576
12,Aaliyah Davis,-1.852,-0.9896,-2.8416
13,Aaliyah Duranham,0.3691,0.7637,1.1328
14,Aaliyah Edwards,1.6203,3.6709,5.2911
15,Aaliyah Ellis,-0.2791,0.6137,0.3345
16,Aaliyah Frazier,-0.9415,-0.4176,-1.3591
17,Aaliyah Gayles,-1.8593,0.5564,-1.3029
18,Aaliyah Grant,-0.3399,0.3249,-0.015
19,Aaliyah Guyton,1.5394,3.372,4.9114
20,Aaliyah Henderson,-0.1074,1.2861,1.1787
21,Aaliyah Holmes,-1.0784,1.6509,0.5725
22,Aaliyah Hunt,0.388,0.9147,1.3027
23,Aaliyah Ibarra,0.26,-0.1568,0.1032
24,Aaliyah McMillan,-0.4615,-0.0345,-0.496
25,Aaliyah McQueen,-0.2694,2.2613,1.9919
26,Aaliyah Moore,1.3637,5.869,7.2328
27,Aaliyah Nye,2.5938,7.5053,10.0992
28,Aaliyah Parker,3.126,6.0818,9.2078
29,Aaliyah Pitts,-1.8009,-0.3063,-2.1072
30,Aaliyah Roberson,-2.4802,5.5754,3.0952
31,Aaliyah Stanley,-1.8293,3.5665,1.7372
32,Aaliyah Stanton,-2.9085,3.0513,0.1428
33,Aaliyah Taylor,-0.9186,-1.5168,-2.4355
34,Aalyah Del Rosario,1.431,2.2865,3.7175
35,Aanaya Harris,-2.7928,-2.4567,-5.2495
36,Aaniya Webb,-3.3731,-0.5574,-3.9305
37,Aannah Interrante,-3.6588,1.5393,-2.1195
38,Aarionna Redman,0.8783,4.713,5.5913
39,Aaronette Vonleh,1.5043,6.4806,7.9849
40,Aaryn Battle,-0.0608,3.7745,3.7137
41,Aasia Sam,-1.4588,1.815,0.3562
42,Abaigeal Babore,-1.6014,2.2112,0.6098
43,Abbey Cracknell,1.1812,-0.2302,0.951
44,Abbey Ellis,-0.0129,5.0629,5.05
45,Abbey Ferguson,0.4053,-2.3287,-1.9234
46,Abbey Hsu,-0.8034,6.0808,5.2774
47,Abbey Kimball,1.4824,6.0181,7.5005
48,Abbey Lindsey,-2.4203,-0.5092,-2.9295
49,Abbey Schreacke,-0.2646,7.1048,6.8402
50,Abbie Aalsma,-1.7063,8.1778,6.4715
51,Abbie Davidson,0.4097,0.547,0.9567
52,Abbie Draper,0.282,4.207,4.489
53,Abbie Riddle,-0.2615,0.4524,0.1909
54,Abby Antognoli,-5.7689,-0.1412,-5.9101
55,Abby Beeman,-0.4561,6.5969,6.1408
56,Abby Cater,1.0964,1.1259,2.2223
57,Abby Conklin,-2.8361,1.2584,-1.5777
58,Abby Conlee,-1.1135,-1.1724,-2.2859
59,Abby Eller,-0.0363,1.6635,1.6273
60,Abby Feit,-0.2633,2.3147,2.0515
61,Abby Graham,-0.8322,4.0532,3.221
62,Abby Hendricks,0.1644,0.2735,0.4379
63,Abby Holtman,-2.9691,1.088,-1.8811
64,Abby Jegede,-0.1207,0.8508,0.7301
65,Abby Knauff,-0.0331,-1.2265,-1.2597
66,Abby Krzewinski,-0.55,5.7188,5.1687
67,Abby Liber,-0.5752,-1.0138,-1.589
68,Abby Misier,-1.004,-0.4205,-1.4246
69,Abby Muse,1.3132,2.2493,3.5625
70,Abby Ogle,0.5943,0.0219,0.6162
71,Abby Price,2.217,0.4392,2.6563
72,Abby Prohaska,0.8541,3.4414,4.2955
73,Abby Ray,3.8649,2.0073,5.8722
74,Abby Schulte,-0.4573,1.613,1.1556
75,Abby Sharpe,0.9442,1.0387,1.983
76,Abby Stephens,-1.5505,0.6959,-0.8546
77,Abby Stoddard,-0.1022,-0.1623,-0.2646
78,Abby Wolterman,-1.9577,1.7178,-0.2399
79,Abigail Holtman,-0.7244,3.4838,2.7594
80,Abigail Jegede,-2.2267,-0.0247,-2.2514
81,Abigail Long,-1.0989,1.5894,0.4905
82,Abigail Shoff,-0.6564,2.2977,1.6414
83,Abigail Wilson,-2.2114,0.3788,-1.8327
84,Abigail Wright,-1.0124,3.9638,2.9514
85,Abimbola Adewumi,-0.1736,-0.2614,-0.435
86,Aby Shubert,-1.5405,2.4625,0.922
87,Acacia Hayes,-1.9511,4.0614,2.1103
88,Ace Austin,2.107,3.873,5.98
89,Achol Akot,0.9692,6.2567,7.2259
90,Achol Magot,0.9061,1.3581,2.2642
91,Ada Anamekwe,2.3589,1.3591,3.718
92,Adalia McKenzie,0.6592,6.1748,6.834
93,Adalyn Koelling,-0.9048,0.4355,-0.4693
94,Adaora Nwokeji,0.1115,0.6837,0.7952
95,Adaora Onwumelu,0.4087,-0.2032,0.2056
96,Adara Groman,-0.0064,-0.1189,-0.1252
97,Addi Brownfield,-0.1875,2.4417,2.2542
98,Addi Mack,-0.6505,4.1892,3.5387
99,Addi Melone,-2.3613,-1.8663,-4.2276
100,Addi Wedin,-1.9545,2.3457,0.3913
101,Addie Budnik,1.6745,5.8184,7.493
102,Addie Porter,1.1009,3.6948,4.7956
103,Addisen Mastriano,1.3584,1.2004,2.5588
104,Addison Ainsworth,-1.1121,-0.3705,-1.4825
105,Addison Baxter,0.3843,2.2096,2.5939
106,Addison Deal,0.2668,0.8722,1.139
107,Addison Hall,0.1418,0.7311,0.873
108,Addison Harris,1.7087,3.9769,5.6856
109,Addison Klosterbuer,-0.7008,0.2865,-0.4144
110,Addison Martin,0.0143,4.438,4.4524
111,Addison Melton,-2.9277,2.0611,-0.8666
112,Addison O'Grady,0.4038,1.7588,2.1627
113,Addy Blackwell,0.7427,1.948,2.6907
114,Addy Brown,4.6923,9.3002,13.9925
115,Adeang Ring,-0.6342,1.8616,1.2274
116,Adebukola Akomolafe,-0.179,0.2044,0.0254
117,Adela Valkova,-0.2666,1.6415,1.3749
118,Adelaide Jernigan,-1.9507,0.059,-1.8916
119,Adelyn Traylor-Walker,-1.5861,0.663,-0.923
120,Adena Webster,0.5535,-0.2734,0.28
121,Adhel Tac,0.2413,0.8886,1.1299
122,Adia Brisker,-1.0276,0.1013,-0.9263
123,Adiana Pacheco,-0.8565,-0.5817,-1.4382
124,Adison Novosel,-1.9038,1.9157,0.012
125,Adlee Blacklock,-0.683,2.5864,1.9035
126,Adna Halilbasic,1.2586,0.711,1.9697
127,Adout Ring,-0.2633,-0.6583,-0.9215
128,Adreanna Waddle,-2.1351,0.8375,-1.2976
129,Adria Lincoln,-2.4713,0.664,-1.8073
130,Adriana Arroyo,-2.8007,1.2747,-1.526
